workflow_file,donor_id,scenario,timestamp,processed,notes
aug_gem_6_gem_wo_blend50.json,aug_gem_6_gem_wo,balanced,20241122_190459,No,
aug_gem_6_gem_wo_me80.json,aug_gem_6_gem_wo,me_dominant,20241122_190459,No,
aug_gem_7_gem_demo_rand76.json,aug_gem_7_gem_demo,random,20241122_190500,No,
aug_gem_7_gem_demo_donor80.json,aug_gem_7_gem_demo,donor_dominant,20241122_190500,No,
aug_gem_7_gem_demo_blend50.json,aug_gem_7_gem_demo,balanced,20241122_190500,No,
aug_gem_7_gem_demo_me80.json,aug_gem_7_gem_demo,me_dominant,20241122_190500,No,
aug_gem_8_gem_demo_rand35.json,aug_gem_8_gem_demo,random,20241122_190501,No,
aug_gem_8_gem_demo_donor80.json,aug_gem_8_gem_demo,donor_dominant,20241122_190501,No,
aug_gem_8_gem_demo_blend50.json,aug_gem_8_gem_demo,balanced,20241122_190501,No,
aug_gem_8_gem_demo_me80.json,aug_gem_8_gem_demo,me_dominant,20241122_190501,No,
aug_gem_8_gem_wo_rand39.json,aug_gem_8_gem_wo,random,20241122_190502,No,
aug_gem_8_gem_wo_donor80.json,aug_gem_8_gem_wo,donor_dominant,20241122_190502,No,
aug_gem_8_gem_wo_blend50.json,aug_gem_8_gem_wo,balanced,20241122_190502,No,
aug_gem_8_gem_wo_me80.json,aug_gem_8_gem_wo,me_dominant,20241122_190502,No,
aug_gem_9_gem_demo_rand64.json,aug_gem_9_gem_demo,random,20241122_190503,No,
aug_gem_9_gem_demo_donor80.json,aug_gem_9_gem_demo,donor_dominant,20241122_190503,No,
aug_gem_9_gem_demo_blend50.json,aug_gem_9_gem_demo,balanced,20241122_190503,No,
aug_gem_9_gem_demo_me80.json,aug_gem_9_gem_demo,me_dominant,20241122_190503,No,
aug_gem_9_gem_wo_rand23.json,aug_gem_9_gem_wo,random,20241122_190504,No,
aug_gem_9_gem_wo_donor80.json,aug_gem_9_gem_wo,donor_dominant,20241122_190504,No,
aug_gem_9_gem_wo_blend50.json,aug_gem_9_gem_wo,balanced,20241122_190504,No,
aug_gem_9_gem_wo_me80.json,aug_gem_9_gem_wo,me_dominant,20241122_190504,No,
aug_gpt_10_gem_demo_rand55.json,aug_gpt_10_gem_demo,random,20241122_190505,No,
aug_gpt_10_gem_demo_donor80.json,aug_gpt_10_gem_demo,donor_dominant,20241122_190505,No,
aug_gpt_10_gem_demo_blend50.json,aug_gpt_10_gem_demo,balanced,20241122_190505,No,
aug_gpt_10_gem_demo_me80.json,aug_gpt_10_gem_demo,me_dominant,20241122_190505,No,
aug_gpt_10_gem_wo_rand55.json,aug_gpt_10_gem_wo,random,20241122_190506,No,
aug_gpt_10_gem_wo_donor80.json,aug_gpt_10_gem_wo,donor_dominant,20241122_190506,No,
aug_gpt_10_gem_wo_blend50.json,aug_gpt_10_gem_wo,balanced,20241122_190506,No,
aug_gpt_10_gem_wo_me80.json,aug_gpt_10_gem_wo,me_dominant,20241122_190506,No,
aug_gpt_1_gem_demo_rand60.json,aug_gpt_1_gem_demo,random,20241122_190507,No,
aug_gpt_1_gem_demo_donor80.json,aug_gpt_1_gem_demo,donor_dominant,20241122_190507,No,
aug_gpt_1_gem_demo_blend50.json,aug_gpt_1_gem_demo,balanced,20241122_190507,No,
aug_gpt_1_gem_demo_me80.json,aug_gpt_1_gem_demo,me_dominant,20241122_190507,No,
aug_gpt_1_gem_wo_rand22.json,aug_gpt_1_gem_wo,random,20241122_190508,No,
